device;training_samples;validation_samples;test_samples;batch_size;loss_function;random_seed;hidden_layer_size;learning_rate;momentum;epochs;epoch;phase;accuracy;loss;duration
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;1;TRAIN;17.7%;2.268513;21.392470
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;1;VAL;24.4%;2.222635;19.621187
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;2;TRAIN;39.7%;2.170101;21.033582
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;2;VAL;52.8%;2.113529;19.296851
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;3;TRAIN;59.9%;2.044957;17.721582
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;3;VAL;63.0%;1.974351;16.718480
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;4;TRAIN;64.9%;1.894430;18.966292
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;4;VAL;66.4%;1.815663;19.719985
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;5;TRAIN;67.9%;1.729411;20.096929
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;5;VAL;68.5%;1.648366;18.436257
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.1;5;;TEST;69.5%;1.633180;6.112695
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;1;TRAIN;34.7%;2.226405;20.618137
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;1;VAL;56.8%;2.132650;18.839097
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;2;TRAIN;66.9%;2.010720;19.925556
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;2;VAL;70.8%;1.873929;18.030912
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;3;TRAIN;73.4%;1.714340;17.994200
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;3;VAL;74.4%;1.558201;17.028521
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;4;TRAIN;76.5%;1.405511;17.745806
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;4;VAL;77.6%;1.273116;17.651176
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;5;TRAIN;79.4%;1.152064;17.938626
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;5;VAL;80.1%;1.058365;17.248106
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.5;5;;TEST;81.8%;1.025419;6.660661
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;1;TRAIN;44.5%;2.014194;19.186240
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;1;VAL;73.2%;1.508584;18.449183
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;2;TRAIN;79.7%;1.020053;19.722425
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;2;VAL;82.7%;0.712283;17.990321
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;3;TRAIN;85.2%;0.591809;18.657958
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;3;VAL;86.0%;0.525265;18.338874
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;4;TRAIN;87.5%;0.474187;19.176609
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;4;VAL;87.7%;0.451344;16.365524
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;5;TRAIN;88.7%;0.419618;18.845223
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;5;VAL;88.6%;0.412153;18.084036
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.01;0.9;5;;TEST;89.7%;0.384006;5.856482
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;1;TRAIN;64.7%;1.648966;19.302285
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;1;VAL;81.1%;0.966602;18.195876
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;2;TRAIN;84.3%;0.714501;19.981499
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;2;VAL;85.6%;0.579078;18.500403
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;3;TRAIN;87.3%;0.504708;19.928179
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;3;VAL;87.8%;0.467393;16.324145
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;4;TRAIN;88.7%;0.429054;17.724968
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;4;VAL;88.7%;0.416610;18.089088
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;5;TRAIN;89.4%;0.390229;18.961250
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;5;VAL;89.1%;0.387275;18.156617
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.1;5;;TEST;90.1%;0.361660;5.795226
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;1;TRAIN;70.3%;1.294564;19.460027
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;1;VAL;84.4%;0.636691;18.925275
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;2;TRAIN;87.1%;0.505260;20.087543
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;2;VAL;87.8%;0.446966;19.784267
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;3;TRAIN;89.1%;0.400263;20.693501
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;3;VAL;89.2%;0.387770;19.515469
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;4;TRAIN;90.0%;0.359473;20.066657
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;4;VAL;89.6%;0.359595;19.132820
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;5;TRAIN;90.6%;0.335718;19.858560
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;5;VAL;90.0%;0.341408;18.585114
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.5;5;;TEST;91.1%;0.312870;5.232855
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;1;TRAIN;75.6%;0.910538;17.261416
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;1;VAL;88.7%;0.378033;16.248598
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;2;TRAIN;90.4%;0.327173;17.439227
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;2;VAL;90.8%;0.309855;17.468807
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;3;TRAIN;92.3%;0.269887;18.028577
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;3;VAL;91.9%;0.274847;16.967548
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;4;TRAIN;93.3%;0.237744;19.314250
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;4;VAL;92.7%;0.252926;18.211901
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;5;TRAIN;94.0%;0.213312;19.780199
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;5;VAL;93.5%;0.224531;17.286677
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.1;0.9;5;;TEST;94.2%;0.199303;5.715115
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;1;TRAIN;74.9%;0.884931;18.437154
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;1;VAL;87.2%;0.433773;17.926729
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;2;TRAIN;89.4%;0.362526;18.150084
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;2;VAL;90.3%;0.332018;17.214315
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;3;TRAIN;91.6%;0.294760;17.672393
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;3;VAL;91.3%;0.291441;16.995445
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;4;TRAIN;92.5%;0.261017;18.495633
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;4;VAL;92.6%;0.258844;21.635737
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;5;TRAIN;93.3%;0.233517;19.340451
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;5;VAL;93.1%;0.239889;18.812733
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.1;5;;TEST;93.4%;0.224547;6.993765
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;1;TRAIN;80.7%;0.691361;20.714313
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;1;VAL;90.4%;0.337813;20.464189
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;2;TRAIN;91.4%;0.294239;20.770589
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;2;VAL;91.3%;0.290437;18.925113
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;3;TRAIN;93.0%;0.243182;20.175461
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;3;VAL;92.8%;0.241042;18.612496
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;4;TRAIN;94.1%;0.208254;22.866581
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;4;VAL;93.7%;0.215435;21.464356
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;5;TRAIN;94.8%;0.183288;23.402823
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;5;VAL;94.5%;0.194797;23.050149
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.5;5;;TEST;94.9%;0.176789;6.464033
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;1;TRAIN;80.9%;0.686836;19.606364
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;1;VAL;92.0%;0.261082;19.432647
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;2;TRAIN;94.1%;0.198921;22.742492
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;2;VAL;94.6%;0.179001;20.207364
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;3;TRAIN;95.9%;0.138904;21.182624
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;3;VAL;95.7%;0.144981;21.345742
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;4;TRAIN;96.7%;0.109786;21.495810
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;4;VAL;96.0%;0.131522;20.613808
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;5;TRAIN;97.3%;0.091732;22.776026
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;5;VAL;96.5%;0.119394;21.871106
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;64;0.5;0.9;5;;TEST;96.5%;0.112531;8.001470
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;1;TRAIN;18.5%;2.274277;24.259616
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;1;VAL;29.5%;2.226936;20.134896
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;2;TRAIN;36.8%;2.177179;20.398002
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;2;VAL;43.5%;2.119359;20.287628
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;3;TRAIN;50.3%;2.056343;22.893683
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;3;VAL;57.2%;1.986438;19.921724
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;4;TRAIN;62.4%;1.910533;19.961522
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;4;VAL;67.0%;1.831508;18.648813
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;5;TRAIN;69.8%;1.746415;20.892403
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;5;VAL;72.7%;1.662786;20.008434
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.1;5;;TEST;73.2%;1.647145;10.364603
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;1;TRAIN;23.4%;2.230921;26.259166
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;1;VAL;46.1%;2.145970;21.939828
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;2;TRAIN;58.7%;2.039783;22.660090
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;2;VAL;66.1%;1.918302;23.841989
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;3;TRAIN;69.5%;1.775607;21.269645
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;3;VAL;71.8%;1.628118;17.453869
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;4;TRAIN;74.2%;1.476095;18.726145
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;4;VAL;75.8%;1.337802;17.275638
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;5;TRAIN;78.0%;1.208690;20.418004
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;5;VAL;78.8%;1.105698;18.739051
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.5;5;;TEST;80.7%;1.074134;6.956286
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;1;TRAIN;55.1%;1.993665;22.751864
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;1;VAL;74.6%;1.449773;19.881527
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;2;TRAIN;80.8%;0.964527;21.242757
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;2;VAL;83.7%;0.681363;19.430541
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;3;TRAIN;85.8%;0.571030;21.650285
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;3;VAL;86.5%;0.512032;20.198241
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;4;TRAIN;87.9%;0.462815;21.552658
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;4;VAL;87.8%;0.443616;19.795738
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;5;TRAIN;88.8%;0.411989;22.833458
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;5;VAL;88.7%;0.407508;19.558119
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.01;0.9;5;;TEST;89.7%;0.377847;7.164209
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;1;TRAIN;64.3%;1.703721;22.460098
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;1;VAL;80.5%;1.008639;18.847862
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;2;TRAIN;84.2%;0.733058;18.531113
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;2;VAL;85.7%;0.585386;22.341154
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;3;TRAIN;87.3%;0.509747;26.899634
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;3;VAL;87.8%;0.471851;25.797571
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;4;TRAIN;88.5%;0.431625;22.336332
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;4;VAL;88.6%;0.418271;19.795894
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;5;TRAIN;89.4%;0.390675;21.966974
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;5;VAL;89.2%;0.387862;21.368479
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.1;5;;TEST;90.1%;0.358958;8.564510
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;1;TRAIN;72.0%;1.359494;22.122971
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;1;VAL;84.5%;0.646730;21.040537
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;2;TRAIN;87.1%;0.508184;22.731047
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;2;VAL;88.1%;0.441695;19.455972
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;3;TRAIN;89.1%;0.397475;22.218477
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;3;VAL;89.5%;0.383954;20.710218
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;4;TRAIN;90.1%;0.354428;22.439382
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;4;VAL;89.7%;0.353953;20.775495
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;5;TRAIN;90.8%;0.329648;21.580785
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;5;VAL;90.3%;0.333016;21.507894
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.5;5;;TEST;91.4%;0.307884;9.032608
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;1;TRAIN;75.7%;0.891059;23.610868
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;1;VAL;89.0%;0.381495;20.670250
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;2;TRAIN;90.8%;0.322132;24.060067
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;2;VAL;90.7%;0.313481;25.054800
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;3;TRAIN;92.5%;0.266292;25.676809
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;3;VAL;92.3%;0.267692;21.489321
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;4;TRAIN;93.5%;0.228631;22.748649
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;4;VAL;93.0%;0.240395;20.228915
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;5;TRAIN;94.4%;0.199656;22.487650
cuda;48000;12000;10000;1024;CrossEntropyLoss();2167;128;0.1;0.9;5;5;VAL;94.1%;0.204837;21.673904
